label,review
0,真的是不好吃，但是师傅送餐还比较快
1,送餐很准时，饭菜也很好，值得购买。。。。
0,这时间很长啊，快两个小时了，今天是例外。
0,"饭菜都凉了,而且给的特别少还不好吃"
0,还可以吧。吃着也就那样。粥不错，挺好喝
1,味道相当的不错呀，锡纸包装也很大气，下次还来买~~
0,送到的时间很晚，影响了正常工作时间
1,饭很好吃，不过送餐速度真的很慢，我等了三个小时，疯了
1,粥还不错，饼还没尝，包装挺好，看着不错
1,快递小伙儿特别热情.很好！
0,这次配送速度太慢，饭都凉的！
0,"好吃,但是吃完就一直拉肚子。。"
0,点了西红柿鸡蛋加卤蛋香肠，结果只送来了西红柿鸡蛋饭
0,送餐很快，我们定的饺子，饺子馅非常不新鲜，肉有味道，饺子就跟没煮熟似的，饺子皮吃起来粘牙黏糊糊的，很差的一次外卖
0,送错了，没有美式，给了个小拿铁....
0,送餐时间太慢，有待加速，餐送到的时候已经冷了
1,送餐员速度快，态度好
0,太他妈难吃了，凉的！
0,烤串基本没盐味
1,送货小伙服务很好，送到公司里，小伙很帅！
1,"味道一如既往的好,就是粥碗变小了,米也少了说好11:15送达,结果12:30左右才收到"
1,过程很复杂，东西很好吃，商家还送了一次性手套。
1,去人大店吃过一次，服务很好
0,等了两个小时。10点半下单
0,9元价格很实惠，米饭量少，吃不饱。
1,神速呀。。订完20分钟就到了。。。果断好评，快递小哥态度很好，赞个
1,热情！速度快！
1,肉好多！好吃！
1,比在店里吃还便宜
1,我是吃完了饭来评价的！好像完了！1点10分就送到了！非常快！
0,今天送餐很慢，用时一小时10分钟，送过肉夹馍都凉了，好腥。希望下次会快点。
0,"9点定的,12点才送到,还只送到楼下,太差了"
0,样子不是很好但味道不错
1,师傅非常好～谢谢
1,包装好，送的快，价格合理，希望种类再多点，做的更好吃些
0,建议饭量大的人来2中份
1,等了一个半小时……就算下雨，我的地址距离餐馆可是直线啊！！！！中间无障碍物！！！到的时候，装餐的纸袋子都破了湿了……百度送餐员也太不靠谱了
0,预计12:17送到，但事实是1点才送到，而且汤汁全洒
1,宫爆鸡丁没放辣椒，简直了，也就因为家里有小朋友不能吃辣，不然就直接倒了，太难吃了
0,坑爹，一点不好吃，想被坑的就来点吧，这种店只会坑我一次，菜一点油都没，这种店注定不会长久。。
1,我只能说，好！
1,非常划算又好吃
0,东西有些小贵。
1,还可以、分量也足、但是有点软了
0,一般、毕竟价钱不贵
0,时间太长，面都坨了
0,肉夹馍肉太少
0,鸭子太腻，没法吃。
1,挺好吃的，京酱肉丝里面全是汁水很不错，肘子也还行，吃了2个和一碗粥，勉强吃饱，感觉有点少，这个中号的有大约5*5*25那么大，大胃的可能2个不太够。
1,"还是很好吃~包装特别精致,哈哈哈,都舍不得拆开"
1,奶茶很好喝，快递员也特别好
1,都非常好，就是派送费有点贵！
1,"早有耳闻,,结果配送太晚了真是黄太急了，味道还是不错的"
1,越来越慢了呢
1,送餐师傅服务到位
0,梅菜好多，海带味道怪怪的
0,时间太不给力了。两个多小时。。。一定要改善。不然没人买了。
0,都是大肥肉，吃不了！
1,速度很快，味道也不错
0,还是有点吃不惯意面
0,有点坑爹，点了三份牛肉只放了一份，点了2分鹌鹑蛋只放了一份，点了两份泡菜只放了一份，偷工减料！！！！
0,下了单说一个小时之后送，过了一个小时送餐员打电话又说晚15分钟，而且态度不好！味道也一般，跟小螺号比差远了，再也不点了
